path_id,Rank,DOI,Label,PY,JI,TI,AB,TC,final_topic,topic_keywords,topic_label
1,1,10.1016/j.ssaho.2026.102441,sukamtoi._2026,2026,Social Sciences and Humanities Open,Understanding academic burnout: A systematic literature review of its risk and protective factors,"In the contemporary educational landscape, academic burnout (exhaustion, inadequacy, and cynicism) has emerged as an urgent psychological and educational issue that threatens various educational outcomes and academic adjustment. Understanding the risk and protective factors of burnout is also essential for developing effective strategies and more targeted interventions to prevent psychological exhaustion and promote well-being, particularly in academic and professional settings. The systematic literature review aims to synthesize the key risk and protective factors associated with burnout, drawing on evidence from diverse populations and contexts. Following PRISMA guidelines, a systematic search of databases was conducted up to July 2025 and identified a total of 1744 citations of which 50 studies were included in the qualitative analysis. The review identifies a range of interrelated risk factors—spanning academic, psychological, personal, social, and structural domains—highlighting that academic burnout among students is a complex and multifaceted phenomenon. Thus, protection against burnout requires a holistic approach that includes strengthening individual character, strong social support, developing adaptive learning and coping strategies, and providing a healthy academic environment. This review seeks to inform the design of targeted interventions and guide policymakers, educators, and institutional stakeholders in mitigating burnout and fostering resilience. © 2026 The Authors.",0,2,"burnout, students, academic, study, emotional, university, stress, academic burnout",
1,2,10.1177/21582440251387802,oberj._2025,2025,SAGE Open,Assessment of Academic Burnout among University Students in Poland,"The phenomenon of academic burnout among students is caused by a variety of diverse factors, while its consequences have very serious consequences, both for the health of those affected and their effectiveness in later professional life. The purpose of the research presented in this article was to assess academic burnout using the example of universities in Poland. Data for analysis were collected through a survey questionnaire created by the authors of the study. The tool contained 16 mixed questions, including six to collect anonymous sociodemographic information. Statistical calculations used included Kruskal-Walli’s test, Spearman rank-order correlation, multivariate cluster analysis and PROFIT analysis to develop the model. A novelty is the holistic approach to student academic burnout, identifying not only its causes and symptoms but also drawing attention to preventive measures on the part of the University or those potentially exposed to it. The majority of the respondents experienced the phenomenon of academic burnout, which was most often associated with a large number of responsibilities and stress, while it was mainly manifested by discouragement and lack of enjoyment of learning; slightly less by mental exhaustion, a feeling of helplessness and lack of motivation to take on any challenges both in the near and long term. Furthermore, first-degree full-time students are the group most resistant to academic burnout, and the factor most likely to cause them to develop this problem is a lack of regularity in their studies. Second-degree students, particularly full-time students, are the most vulnerable to academic burnout. © The Author(s) 2025. This article is distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 License (https://creativecommons.org/licenses/by-nc/4.0/) which permits non-commercial use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access pages (https://us.sagepub.com/en-us/nam/open-access-at-sage).",1,2,"burnout, students, academic, study, emotional, university, stress, academic burnout",
1,3,10.1111/jora.12991,vansoeterstedea._2024,2024,Journal of Research on Adolescence,School burnout and schoolwork engagement profiles among French high school students: Associations with perceived academic stress and social support,"Adolescents' well-being at school is positively affected by social support from parents, teachers, and peers and negatively affected by academic stress. However, little is known about how specific academic stressors are related to study-related well-being profiles. This study used a person-centered approach to identify the profiles of high school students based on their school burnout (i.e., exhaustion and cynicism) and engagement levels to examine their associated levels of perceived academic stress, social support, and sociodemographic characteristics. Using cluster analysis on a sample of 540 high school students (67.8% girls), we identified five profiles labeled “Engaged” (22.4%), “Relaxed” (18.9%), “Overextended” (25.6%), “Disengaged” (17.6%), and “Burned out” (15.4%). The “Engaged” and “Relaxed” groups experienced similar levels of perceived social support, but the “Engaged” students showed higher academic stress levels. The “Overextended” group displayed high academic stress with lower social support, while the “Disengaged” group showed low stress with low social support. Finally, the “Burned out” group displayed the highest academic stress and the lowest perceived support. Results are discussed within the demands−resources model of school burnout and clinical implications are presented for each profile. © 2024 Society for Research on Adolescence.",12,3,"academic, burnout, school, students, study, academic burnout, school burnout, engagement",
1,4,10.3390/educsci12020124,romanol._2022,2022,Education Sciences,An Italian Adaptation of the Burnout Assessment Tool‐Core Symptoms (BAT‐C) for Students,"Burnout is psychological, physical, and emotional suffering that may affect students with low or inadequate resources to face stressful events at school. Although the existing instruments are used worldwide to assess school burnout risk, they show several flaws and mainly focus on the emotional facets of the syndrome. No previous studies have developed a multi‐component tool to reveal students’ burnout by simultaneously analyzing cognitive, behavioral, and emotional prob-lems. The central core of the current study is to adapt the Burnout Assessment Tool‐Core symptoms (BAT‐C; Schaufeli et al., 2020), comprising four subscales, exhaustion, mental distance, cognitive impairment, and emotional impairment, for a sample of Italian students. The factor structure, the reliability, and the validity of the scale are investigated. The participants are 745 middle school students (male, 52.2%; aged 9–13, M = 11.84, and SD = 1.21). Confirmatory factor analyses confirmed the best fit of the second‐order model (four first‐order factors and one second‐order factor). Specif-ically, four factors were loaded onto a main high‐order factor, which constitutes the BAT‐C. Our findings support the Italian adaptation of the BAT‐C for students’ samples as a valid instrument for measuring the core symptoms of school burnout. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",18,2,"burnout, students, academic, study, emotional, university, stress, academic burnout",
1,5,10.3390/ejihpe11030062,gabolap._2021,2021,"European Journal of Investigation in Health, Psychology and Education",Adolescents’ school burnout: A comparative study between Italy and Switzerland,"This study aimed to analyze and compare students’ school burnout levels in Switzerland and Italy. Previous research has confirmed that female and older students in particular are highly exposed to burnout risk. Nevertheless, few studies have observed this phenomenon through a cross-national comparison. Data on burnout were collected from a sample of 840 adolescents (Italian students = 497; Swiss students = 343) (Mage = 14.98; SD = 1.06; Female = 50%). Burnout was measured using the School Burnout Inventory, and cross-cultural measurement invariance was tested. The results showed that this burnout measure was equivalent between the Italian and Swiss samples. A multivariate analysis of variance was next conducted to investigate the effects of age, gender, and nationality. Results partially confirmed our hypotheses, showing the effect of age but not of gender in explaining burnout differences among students, and between and within-group variance. In particular, the burnout risk was found to be higher in late adolescence (age 16 to 18, Mexhaution = 2.73; Mcynicism = 2.99; MInadequacy = 3.14) than in mid-adolescence (age 13 to 15 Mexhaution = 2.95; Mcynicism = 3.43; MInadequacy = 3.54). Furthermore, Italian adolescents were more exhausted and cynical (Mexhaution = 2.99; Mcynicism = 3.26) than their Swiss peers (Mexhaution = 2.52; Mcynicism = 2.93) when controlling for age and gender. Findings suggest further investigation of the role played by educational and cultural values may be warranted. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",24,3,"academic, burnout, school, students, study, academic burnout, school burnout, engagement",
1,6,10.3390/EJIHPE11030055,romanol._2021,2021,"European Journal of Investigation in Health, Psychology and Education",Between academic resilience and burnout: The moderating role of satisfaction on school context relationships,"School burnout is considered an extreme form of maladjustment that can seriously under-mine the academic path of students who are affected. Previous studies have focused on possible protective factors, highlighting the role of academic resilience, i.e., the ability to overcome chronic adversity in the school setting. Notwithstanding this, it is equally important to explore the role of the classroom environment and the satisfaction felt by the student toward relationships with teachers and classmates. Therefore, the purpose of the present study was to examine the relationship between academic resilience and burnout and to explore the moderating role of relationship satisfaction with teachers and classmates. A sample of 576 Italian students (Female = 53.1%), aged 14–18 (M = 15.73, SD = 1.56) were involved in the study. Correlations and moderated regressions analyses were con-ducted to test the hypotheses. The results show academic resilience and satisfaction as inversely related to school burnout. Furthermore, the satisfaction on the relationships with classmates moderated the relation between academic resilience and burnout. Findings were discussed by highlighting the importance of promoting both individual and contextual factors to prevent burnout risk. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",45,2,"burnout, students, academic, study, emotional, university, stress, academic burnout",
1,7,10.1016/j.adolescence.2020.12.002,tangx._2021,2021,Journal of Adolescence,School burnout and psychosocial problems among adolescents: Grit as a resilience factor,"Introduction: The present study investigated whether grit can mitigate the associations between school burnout, loneliness, and depressive symptoms among adolescents. It also examined gender differences. Methods: This study included 1296 seventh and 1166 eighth graders from Finland. The study variables were self-reported and regression analysis was performed. Results: This study found that two grit facets – consistency of interest and perseverance of effort – played resilient roles in school burnout. A high level of grit substantially reduced reported depressive symptoms when adolescents experienced high school burnout. Our further analysis showed that the role of grit was more pronounced among boys than among girls. When male adolescents were at risk of school burnout, both consistency of interest and perseverance of effort protected them and they had only low levels of loneliness and depressive symptoms. Conclusions: This study demonstrates that grit can act as a resilience factor among adolescents. © 2020 The Foundation for Professionals in Services for Adolescents",81,3,"academic, burnout, school, students, study, academic burnout, school burnout, engagement",
1,8,10.1080/17405629.2020.1785860,salmela-arok._2020,2020,European Journal of Developmental Psychology,School engagement and school burnout profiles during high school–The role of socio-emotional skills,"This study examined latent profiles of school burnout symptoms, studyholism, and engagement among high-school students. The dimensions of school burnout (e.g., exhaustion, cynicism, feelings of inadequacy), studyholism, and overall school engagement were examined as indicators of the latent profiles. The OECD socio-emotional skills framework (curiosity, grit, social engagement, belongingness, and academic buoyancy) was examined in predicting students’ belonging to different latent groups. The participants were 1038 high-school students from the Helsinki metropolitan area who completed an online survey concerning their experiences of school-related burnout, engagement, studyholism, and key socio-emotional skills. The results from the latent profile analyses showed that three homogeneous groups of students could be identified according to students’ experiences of burnout, studyholism, and engagement, namely engaged (34%), stressed (47%), and burned out (19%) groups. The results showed that in the context of socio-emotional skills, those who reported high curiosity, grit, academic buoyancy, social engagement, and belongingness were more likely to belong to the engaged rather than the stressed or burned out groups, and to the stressed rather than the burned out group. © 2020 Informa UK Limited, trading as Taylor & Francis Group.",86,3,"academic, burnout, school, students, study, academic burnout, school burnout, engagement",
1,9,10.1007/s10648-020-09533-1,madigand.j._2021,2021,Educational Psychology Review,"Does Burnout Affect Academic Achievement? A Meta-Analysis of over 100,000 Students","Burnout is understood to have many adverse consequences for students. However, several equivocal findings in the literature mean that it is currently unclear to what extent burnout affects academic achievement. To address this lack of clarity, the aim of the present study was to provide a first meta-analysis of the relationship between burnout and academic achievement. A literature search returned 29 studies (N = 109,396) and 89 effect sizes. Robust variance meta-analyses indicated that total burnout had a significant negative relationship with academic achievement (rc+ = −.24). A similar pattern of relationships was found for each of the three symptoms of burnout (exhaustion [rc+ = −.15], cynicism [rc+ = −.24], and reduced efficacy [rc+ = −.39]). There was some evidence that the instrument used to measure burnout moderated the relationship between reduced efficacy and achievement. Taken together, the findings suggest that burnout leads to worse academic achievement in school, college, and university. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",296,2,"burnout, students, academic, study, emotional, university, stress, academic burnout",
1,10,10.3389/fpsyg.2018.00297,widlunda._2018,2018,Frontiers in Psychology,"Academic well-being, mathematics performance, and educational aspirations in lower secondary education: Changes within a school year","It has been suggested that both performance and academic well-being play a role in adolescent students' educational attainment and school dropout. In this study, we therefore examined, first, what kinds of academic well-being (i.e., school burnout, schoolwork engagement, and mathematics self-concept) and mathematics performance profiles can be identified among lower secondary school students (Ngrade 7 = 583, Ngrade 9 = 497); second, how stable these profiles are across one school year during the seventh and ninth grades; and, third, how students with different academic well-being and mathematics performance profiles differ with respect to their educational aspirations. By means of latent profile analyses, three groups of students in seventh grade: thriving (34%), average (51%), and negative academic well-being (15%) and four groups of students in ninth grade: thriving (25%), average (50%), negative academic well-being (18%), and low-performing (7%) with distinct well-being and mathematics performance profiles were identified. Configural frequency analyses revealed that the profiles were relatively stable across one school year; 60% of the students displayed identical profiles over time. The thriving students reported the highest educational aspirations compared to the other groups. In addition, the low-performing students in the ninth grade had the lowest educational aspirations just before the transition to upper secondary school. Practical implications as well as directions for future research are discussed. © 2018 Widlund, Tuominen and Korhonen.",60,3,"academic, burnout, school, students, study, academic burnout, school burnout, engagement",
